Date,Energy_res1,Energy_res2,Energy_res3,Energy_res4,Energy_res5,Energy_res6,Energy_res7,Energy_res8,Energy_res9,Energy_res10,Day of Week,AirTemp_C,GlobalSolarRad_W/m2,PrecipitableWater_kg/m2,RelativeHumidity,SnowDepth_LWE_cm,SurfacePressure_hPa,WindDirection10m,WindSpeed10m_m/s,Hour
2015-02-21 17:00:00,1.92,1.82,0.57,0.38,0.8,2.6,0.19,1.89,0.65,1.67,5.0,3.9,299.0,5.4,84.2,0.1,973.2,24.0,2.9,17
2015-02-21 18:00:00,1.29,3.62,1.04,0.32,0.88,2.05,0.21,1.27,0.54,1.89,5.0,5.2,416.0,5.2,78.3,0.1,973.6,27.0,2.9,18
2015-02-21 21:00:00,0.6,1.6,0.97,0.61,0.9,1.72,0.4,1.07,0.97,0.88,5.0,8.2,485.0,5.0,55.8,0.1,974.1,35.0,2.6,21
2015-02-21 22:00:00,0.58,1.11,0.87,0.72,0.86,1.52,0.51,1.66,0.56,0.81,5.0,8.5,405.0,4.9,52.6,0.1,974.1,37.0,2.6,22
2015-02-22 14:00:00,0.43,0.77,3.95,0.52,3.42,4.16,0.53,0.47,0.45,0.74,6.0,0.9,0.0,5.7,70.1,0.1,976.1,51.0,2.0,14
2015-02-22 17:00:00,4.52,1.66,1.43,2.0,2.07,1.84,0.57,1.4,3.18,0.81,6.0,3.9,272.0,5.9,62.8,0.1,976.1,67.0,1.3,17
2015-02-22 18:00:00,2.14,1.91,1.58,2.34,1.22,1.87,0.6,0.95,1.86,0.96,6.0,5.1,414.0,6.1,58.2,0.1,975.9,76.0,1.0,18
2015-02-23 08:00:00,1.38,2.29,0.68,0.54,0.89,2.05,0.29,0.72,0.25,0.93,0.0,2.1,0.0,12.3,81.6,0.1,974.2,36.0,0.9,8
2015-02-23 09:00:00,0.66,1.8,0.49,0.62,0.47,2.43,0.28,0.54,0.64,0.82,0.0,1.8,0.0,12.6,84.4,0.1,974.3,43.0,1.2,9
2015-02-23 17:00:00,1.6,2.81,2.6,0.53,1.06,2.34,0.49,0.33,1.2,0.81,0.0,5.0,297.0,13.7,61.7,0.1,974.7,63.0,1.1,17
