Date,Energy_res1,Energy_res2,Energy_res3,Energy_res4,Energy_res5,Energy_res6,Energy_res7,Energy_res8,Energy_res9,Energy_res10,Day of Week,AirTemp_C,GlobalSolarRad_W/m2,PrecipitableWater_kg/m2,RelativeHumidity,SnowDepth_LWE_cm,SurfacePressure_hPa,WindDirection10m,WindSpeed10m_m/s,Hour
2016-05-25 17:00:00,5.61,1.99,0.28,0.28,0.99,0.36,0.22,0.32,1.47,1.05,2.0,13.0,494.0,12.7,72.0,0.0,964.3,230.0,2.3,17
2016-09-15 17:00:00,5.43,0.94,0.42,0.16,0.51,0.49,0.39,0.35,1.2,1.02,3.0,13.9,508.0,17.1,78.6,0.0,967.4,201.0,0.8,17
2016-12-24 17:00:00,5.65,3.12,1.11,1.78,0.31,3.38,1.61,1.41,2.05,3.36,5.0,-1.3,66.0,6.3,84.2,6.3,957.1,40.0,1.2,17
