date only,blabla,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-03-23,0,0.28,0.26,0.25,0.28,0.25,0.26,0.27,0.73,0.87,0.77,0.63,0.43,0.37,0.52,0.58,0.64,0.52,2.17,1.96,1.06,1.23,1.24,0.82,0.46
2015-03-24,1,0.28,0.26,0.26,0.27,0.25,0.27,0.37,0.76,0.98,1.71,3.35,1.25,2.59,0.85,2.68,0.25,0.22,0.42,0.4,1.03,0.89,0.92,1.36,0.27
2015-03-25,0,0.26,0.26,0.26,0.24,0.26,0.26,0.49,0.85,0.75,0.8,0.31,0.22,0.68,0.51,0.62,0.72,0.74,0.8,2.26,1.31,1.05,0.8,0.54,0.25
2015-03-26,1,0.25,0.23,0.24,0.24,0.22,0.23,0.27,0.68,0.75,1.25,1.08,1.05,2.56,0.95,0.61,0.22,0.24,0.33,0.34,1.96,1.59,0.78,0.74,0.41
2015-03-27,0,0.26,0.25,0.27,0.25,0.26,0.29,0.42,0.78,0.33,0.47,0.46,0.46,0.46,0.48,0.6,0.52,0.61,0.32,0.38,1.05,0.94,2.23,0.55,0.36
2015-03-28,1,0.27,0.26,0.25,0.28,0.26,0.25,0.27,0.43,0.52,0.85,1.15,1.14,1.09,0.83,0.76,0.81,1.01,2.7,0.97,1.12,1.1,1.06,0.85,0.56
2015-03-29,0,0.27,0.23,0.24,0.22,0.22,0.24,0.22,0.34,0.36,0.69,0.61,0.44,0.52,0.87,1.61,0.8,3.99,0.76,0.89,0.95,1.02,1.01,0.54,0.28
2015-03-30,0,0.27,0.26,0.27,0.27,0.25,0.27,0.27,1.2,0.49,0.68,0.37,0.47,0.47,0.52,0.27,0.35,0.36,1.4,2.09,2.1,1.17,1.5,1.17,0.43
2015-03-31,1,0.28,0.28,0.27,0.27,0.25,0.26,0.28,0.75,0.59,0.6,3.14,0.54,0.49,0.47,0.44,0.38,0.32,0.36,0.92,1.04,1.25,1.49,0.81,0.28
2015-04-01,0,0.28,0.26,0.26,0.28,0.25,0.25,0.51,0.89,0.29,0.25,0.41,0.26,0.24,0.45,0.57,0.5,0.48,0.66,0.99,1.59,1.47,1.56,0.47,0.29
2015-04-02,1,0.25,0.26,0.26,0.24,0.26,0.26,0.33,0.84,3.78,0.55,0.68,3.3,0.49,0.63,0.28,0.24,0.23,0.37,0.45,0.66,1.48,2.19,1.63,0.7
2015-04-03,0,0.31,0.44,0.29,0.26,0.28,0.26,0.26,0.35,0.72,0.73,0.66,0.52,0.74,0.95,0.91,0.36,0.34,0.6,0.54,0.67,1.03,1.22,1.06,0.3
2015-04-04,1,0.26,0.28,0.26,0.26,0.26,0.24,0.26,0.53,0.62,1.18,1.87,0.65,2.26,1.75,0.59,1.69,2.24,1.4,1.08,1.2,1.03,0.92,0.58,0.28
2015-04-05,0,0.27,0.26,0.25,0.27,0.26,0.24,0.33,0.74,0.81,0.73,0.66,0.58,1.39,1.01,0.51,0.63,1.22,3.2,2.22,0.55,0.99,1.07,0.87,0.46
2015-04-06,1,0.32,0.28,0.26,0.25,0.26,0.26,0.24,0.42,0.53,1.53,1.12,2.27,1.95,1.25,4.29,0.94,0.41,0.74,0.99,4.06,0.83,0.86,0.75,0.29
2015-04-07,0,0.28,0.25,0.25,0.27,0.25,0.26,0.27,0.63,1.26,1.11,0.34,0.45,0.47,0.54,0.49,0.31,0.28,0.45,0.92,0.85,1.15,1.19,0.76,0.28
2015-04-08,0,0.26,0.25,0.26,0.27,0.26,0.27,0.62,1.12,0.63,0.81,0.41,0.25,0.23,0.25,0.51,0.48,0.59,2.25,1.85,0.58,0.72,0.82,0.39,0.3
2015-04-09,0,0.27,0.25,0.27,0.25,0.25,0.27,0.24,0.72,0.88,0.74,2.76,0.35,0.48,0.37,0.41,0.31,0.28,0.33,0.84,0.66,0.86,1.02,1.03,0.91
2015-04-10,0,0.41,0.31,0.26,0.25,0.24,0.26,0.26,0.73,0.71,0.32,0.22,0.37,0.53,0.43,0.3,0.43,0.86,0.63,0.73,1.0,0.77,0.86,0.68,0.3
2015-04-11,0,0.26,0.24,0.26,0.23,0.23,0.25,0.23,0.32,0.81,0.99,1.08,0.52,0.48,0.61,0.74,0.49,0.6,0.56,0.59,0.64,0.89,3.28,0.86,0.59
2015-04-12,1,0.28,0.24,0.24,0.25,0.23,0.24,0.25,0.59,0.78,0.71,0.73,0.92,2.42,2.16,0.56,0.6,0.93,0.66,0.45,0.68,1.85,1.54,0.52,0.28
2015-04-13,0,0.24,0.24,0.27,0.41,0.25,0.24,0.23,0.77,0.68,0.85,0.74,0.23,0.25,0.93,0.67,0.59,0.67,2.11,2.36,0.78,1.26,1.2,0.54,0.32
2015-04-14,0,0.28,0.24,0.23,0.25,0.23,0.24,0.27,0.65,0.54,0.67,0.54,0.66,0.5,0.68,0.64,0.65,0.66,0.79,2.53,2.65,1.31,1.09,0.61,0.34
2015-04-15,0,0.25,0.24,0.25,0.24,0.25,0.25,0.22,0.55,0.8,0.75,0.34,0.59,0.71,0.61,0.57,0.64,0.44,0.45,2.44,0.65,1.07,0.86,0.77,0.48
2015-04-16,1,0.27,0.26,0.24,0.25,0.26,0.25,0.37,0.53,0.75,0.96,2.82,0.6,0.58,0.58,0.74,0.56,0.46,0.51,0.55,0.47,0.7,0.8,0.82,0.67
2015-04-17,0,0.31,0.27,0.27,0.24,0.24,0.25,0.23,0.48,0.82,0.44,0.35,0.39,0.44,0.58,2.53,1.05,0.57,0.63,0.89,0.86,1.33,0.59,0.58,0.72
2015-04-18,0,0.28,0.26,0.24,0.24,0.25,0.24,0.22,0.7,0.46,0.5,0.32,0.58,0.51,0.24,0.57,1.19,0.74,0.54,0.61,1.44,1.97,1.2,0.87,0.74
2015-04-19,0,0.25,0.28,0.25,0.23,0.25,0.24,0.33,0.24,0.36,0.64,0.59,0.9,0.28,0.34,0.51,0.45,0.48,1.26,1.76,0.78,1.03,1.07,0.9,0.65
