date only,blabla,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-03-12,0,0.27,0.25,0.27,0.23,0.27,0.23,0.28,0.63,0.82,0.81,0.78,0.34,0.42,0.38,0.29,0.52,0.67,0.47,0.81,1.16,0.94,0.8,0.5,0.3
2015-04-23,0,0.4,0.29,0.27,0.26,0.26,0.26,0.49,0.92,0.36,0.65,1.78,2.61,3.48,1.12,0.68,0.63,0.65,0.62,0.85,0.75,0.95,0.61,0.26,0.28
2015-05-09,0,0.3,0.28,0.27,0.31,0.27,0.28,0.3,0.28,0.28,0.28,0.25,0.29,0.27,0.25,0.31,0.25,0.28,0.29,0.26,0.31,0.27,0.28,0.3,0.25
2015-05-10,0,0.3,0.26,0.27,0.29,0.25,0.31,0.26,0.29,0.3,0.25,0.3,0.28,0.26,0.3,0.25,0.27,1.13,1.25,0.6,0.78,0.68,0.68,0.92,0.46
2015-06-08,0,0.33,0.34,0.31,0.3,0.29,0.31,0.52,0.47,0.43,0.4,0.34,0.33,0.32,0.35,0.33,0.32,0.32,1.45,0.57,0.84,0.89,0.63,0.49,0.28
2015-06-15,0,0.33,0.3,0.3,0.32,0.29,0.28,0.47,0.72,0.38,0.53,0.73,0.71,0.47,0.42,0.44,0.43,0.41,0.53,0.79,0.74,1.23,0.81,0.58,0.31
2015-06-16,0,0.3,0.31,0.32,0.31,0.3,0.3,0.43,0.61,0.38,0.27,0.26,0.25,0.24,0.23,0.24,0.23,0.26,0.54,0.53,0.52,0.47,0.48,0.46,0.29
2015-06-18,0,0.25,0.23,0.26,0.26,0.24,0.26,0.43,0.78,0.26,0.29,0.38,0.26,0.26,0.24,0.24,0.24,0.24,1.06,1.02,3.52,1.66,0.95,3.32,0.3
2015-06-19,0,0.28,0.27,0.28,0.27,0.28,0.27,0.85,0.82,0.27,0.24,0.24,0.25,0.26,0.23,0.24,0.24,0.24,0.26,0.24,0.67,0.77,0.68,1.56,2.65
2015-06-20,0,0.41,0.31,0.27,0.29,0.27,0.26,0.48,0.27,0.27,1.59,2.1,1.23,0.44,0.25,0.32,0.35,0.8,0.39,0.32,0.31,0.31,0.64,0.4,0.29
2015-06-21,0,0.29,0.28,0.28,0.28,0.28,0.28,0.36,0.4,0.96,0.4,0.26,0.26,0.25,0.26,0.44,0.37,0.68,0.87,2.68,0.62,0.25,1.91,2.32,0.36
2015-06-22,0,0.36,0.33,0.3,0.29,0.3,0.29,0.37,0.58,0.38,0.27,0.27,0.24,0.25,0.25,0.25,0.27,0.26,0.62,0.49,0.38,0.49,1.21,0.83,0.3
2015-06-23,0,0.29,0.31,0.31,0.31,0.29,0.28,0.52,0.55,0.33,0.27,0.27,0.26,0.26,0.28,0.28,0.27,0.26,0.4,1.65,0.68,1.14,1.13,0.63,0.32
2015-06-24,0,0.33,0.3,0.3,0.33,0.42,0.3,0.61,0.58,0.28,0.29,0.29,0.26,0.27,0.28,0.28,0.28,0.27,0.96,3.16,1.35,2.78,1.17,0.35,0.3
2015-06-25,0,0.31,0.31,0.28,0.29,0.29,0.3,0.41,0.76,0.86,0.32,0.28,0.29,0.29,0.39,0.3,0.29,0.28,0.46,1.03,0.46,0.44,0.51,0.47,0.35
2015-06-27,0,0.36,0.36,0.34,0.34,0.36,0.45,0.37,0.45,0.58,0.67,1.2,1.2,1.11,2.17,2.76,0.52,0.68,2.45,0.59,0.57,0.56,0.66,1.33,0.53
2015-06-28,0,0.61,0.42,0.35,0.35,0.35,0.34,0.36,0.47,0.72,0.63,0.58,1.13,1.32,0.42,0.33,0.6,0.26,0.26,0.27,0.27,0.27,1.33,1.93,0.67
2015-06-29,0,0.44,0.35,0.34,0.34,0.32,0.3,0.33,0.68,0.39,0.36,0.47,0.64,0.7,0.26,0.37,0.42,0.38,0.42,0.49,0.4,1.85,2.1,0.67,0.48
2015-06-30,0,0.38,0.43,1.03,0.37,0.35,0.32,0.3,0.63,0.3,0.39,0.33,0.28,0.26,0.26,0.26,0.27,0.26,0.26,0.5,0.54,0.5,0.44,0.64,0.55
2015-07-01,0,0.35,0.35,0.35,0.34,0.33,0.34,0.33,0.38,0.98,0.93,0.63,0.63,0.52,0.46,0.46,0.46,0.45,0.46,0.45,0.46,0.45,0.44,0.45,0.45
2015-07-02,0,0.45,0.46,0.45,0.45,0.45,0.45,0.46,0.45,0.44,0.46,0.45,0.44,0.44,0.44,0.45,0.45,0.44,0.45,0.45,0.45,0.46,0.45,0.45,0.46
2015-07-04,0,0.41,0.33,0.34,0.34,0.31,0.28,0.28,0.29,0.34,0.7,0.82,0.55,0.4,0.37,0.38,3.61,0.78,0.68,0.59,0.92,0.69,2.8,0.71,0.36
2015-07-05,0,0.36,0.45,0.45,0.36,0.34,0.31,0.29,0.29,0.53,0.63,0.94,0.29,0.28,0.26,0.53,0.7,0.52,0.55,2.75,1.14,0.7,0.51,0.61,1.15
2015-07-06,0,0.4,0.36,0.36,0.36,0.36,0.36,0.36,0.66,0.74,0.54,0.48,0.48,0.47,0.47,0.48,0.48,0.48,2.11,1.58,1.62,0.49,0.77,0.72,1.18
2015-07-07,0,0.48,0.29,0.29,0.29,0.3,0.32,0.32,0.92,0.87,0.54,0.51,0.51,0.51,0.5,0.51,0.51,0.51,0.99,0.5,0.38,0.38,0.55,0.78,0.32
