Date,Energy_res2,GlobalSolarRad_W/m2,RelativeHumidity,WindSpeed10m_m/s,Cluster2
2015-02-21 00:00:00,1.3,116.0,83.7,2.0,0
2015-02-21 01:00:00,1.05,15.0,87.4,1.9,0
2015-02-21 02:00:00,0.79,0.0,91.4,1.7,0
2015-02-21 03:00:00,0.81,0.0,94.1,1.4,0
2015-02-21 04:00:00,0.77,0.0,95.3,1.0,0
2015-02-21 05:00:00,0.79,0.0,96.5,0.6,0
2015-02-21 06:00:00,0.69,0.0,96.7,0.5,0
2015-02-21 07:00:00,0.78,0.0,95.8,0.8,0
2015-02-21 08:00:00,1.64,0.0,94.9,1.2,0
2015-02-21 09:00:00,1.66,0.0,93.6,1.5,0
2015-02-21 10:00:00,2.27,0.0,91.7,1.9,0
2015-02-21 11:00:00,3.23,0.0,89.9,2.3,0
2015-02-21 12:00:00,1.86,0.0,89.0,2.5,0
2015-02-21 13:00:00,0.6,0.0,88.9,2.4,0
2015-02-21 14:00:00,0.53,0.0,88.8,2.3,0
2015-02-21 15:00:00,0.76,30.0,87.9,2.4,0
2015-02-21 16:00:00,4.02,155.0,86.0,2.6,0
2015-02-21 17:00:00,1.82,299.0,84.2,2.9,2
2015-02-21 18:00:00,3.62,416.0,78.3,2.9,2
2015-02-21 19:00:00,3.39,491.0,69.1,2.8,1
2015-02-21 20:00:00,2.0,514.0,61.1,2.7,1
2015-02-21 21:00:00,1.6,485.0,55.8,2.6,2
2015-02-21 22:00:00,1.11,405.0,52.6,2.6,2
2015-02-21 23:00:00,0.89,283.0,49.7,2.5,2
2015-02-22 00:00:00,0.96,138.0,49.6,2.5,0
2015-02-22 01:00:00,0.62,18.0,52.3,2.5,0
2015-02-22 02:00:00,0.7,0.0,55.3,2.4,0
2015-02-22 03:00:00,0.61,0.0,58.4,2.4,0
2015-02-22 04:00:00,0.56,0.0,61.8,2.4,0
2015-02-22 05:00:00,1.62,0.0,65.3,2.4,0
2015-02-22 06:00:00,2.06,0.0,68.1,2.4,0
2015-02-22 07:00:00,1.58,0.0,70.0,2.4,0
2015-02-22 08:00:00,2.63,0.0,71.9,2.3,0
2015-02-22 09:00:00,3.07,0.0,73.3,2.4,0
2015-02-22 10:00:00,4.06,0.0,74.0,2.6,0
2015-02-22 11:00:00,4.25,0.0,74.7,2.7,0
2015-02-22 12:00:00,1.94,0.0,74.1,2.6,0
2015-02-22 13:00:00,1.46,0.0,72.1,2.3,0
2015-02-22 14:00:00,0.77,0.0,70.1,2.0,0
2015-02-22 15:00:00,0.62,29.0,67.9,1.8,0
2015-02-22 16:00:00,0.81,136.0,65.3,1.5,0
2015-02-22 17:00:00,1.66,272.0,62.8,1.3,2
2015-02-22 18:00:00,1.91,414.0,58.2,1.0,2
2015-02-22 19:00:00,2.37,339.0,51.8,0.4,2
2015-02-22 20:00:00,1.6,337.0,46.2,0.4,2
2015-02-22 21:00:00,1.1,360.0,44.3,0.6,2
2015-02-22 22:00:00,0.72,287.0,45.7,0.6,2
2015-02-22 23:00:00,0.72,160.0,47.2,0.6,2
2015-02-23 00:00:00,0.69,63.0,49.6,0.7,0
2015-02-23 01:00:00,0.72,19.0,53.3,0.6,0
2015-02-23 02:00:00,0.76,0.0,57.3,0.5,0
2015-02-23 03:00:00,0.66,0.0,60.9,0.4,0
2015-02-23 04:00:00,0.71,0.0,64.1,0.2,0
2015-02-23 05:00:00,0.7,0.0,67.5,0.3,0
2015-02-23 06:00:00,0.93,0.0,71.6,0.5,0
2015-02-23 07:00:00,1.44,0.0,76.4,0.7,0
2015-02-23 08:00:00,2.29,0.0,81.6,0.9,0
2015-02-23 09:00:00,1.8,0.0,84.4,1.2,0
2015-02-23 10:00:00,2.21,0.0,84.6,1.6,0
2015-02-23 11:00:00,0.94,0.0,84.8,2.1,0
2015-02-23 12:00:00,1.2,0.0,83.5,2.2,0
2015-02-23 13:00:00,1.02,0.0,80.5,2.1,0
2015-02-23 14:00:00,0.62,0.0,77.7,2.0,0
2015-02-23 15:00:00,0.88,33.0,73.1,1.8,0
2015-02-23 16:00:00,1.62,158.0,67.1,1.4,2
2015-02-23 17:00:00,2.81,297.0,61.7,1.1,2
2015-02-23 18:00:00,2.79,411.0,56.0,0.6,2
2015-02-23 19:00:00,2.16,484.0,50.0,0.0,2
2015-02-23 20:00:00,0.94,506.0,44.8,0.6,1
2015-02-23 21:00:00,0.88,477.0,43.9,1.0,2
2015-02-23 22:00:00,0.69,399.0,47.1,1.2,2
2015-02-23 23:00:00,0.66,281.0,50.5,1.4,2
2015-02-24 00:00:00,0.65,138.0,54.4,1.5,0
2015-02-24 01:00:00,0.58,20.0,58.9,1.7,0
2015-02-24 02:00:00,0.68,0.0,63.8,1.9,0
2015-02-24 03:00:00,0.73,0.0,66.6,1.9,0
2015-02-24 04:00:00,0.66,0.0,67.1,1.8,0
2015-02-24 05:00:00,0.69,0.0,67.5,1.7,0
2015-02-24 06:00:00,1.11,0.0,68.9,1.6,0
2015-02-24 07:00:00,1.46,0.0,71.4,1.3,0
2015-02-24 08:00:00,1.99,0.0,73.9,1.0,0
2015-02-24 09:00:00,1.11,0.0,75.6,0.7,0
2015-02-24 10:00:00,0.71,0.0,76.4,0.5,0
2015-02-24 11:00:00,1.03,0.0,77.2,0.8,0
2015-02-24 12:00:00,0.71,0.0,78.4,1.1,0
2015-02-24 13:00:00,0.69,0.0,80.2,1.1,0
2015-02-24 14:00:00,0.69,0.0,82.0,1.3,0
2015-02-24 15:00:00,0.68,27.0,82.7,1.3,0
2015-02-24 16:00:00,1.17,117.0,82.2,1.4,0
2015-02-24 17:00:00,1.74,169.0,81.6,1.4,2
2015-02-24 18:00:00,2.4,300.0,79.0,1.6,2
2015-02-24 19:00:00,2.36,365.0,74.4,2.1,2
2015-02-24 20:00:00,1.33,505.0,70.2,2.5,1
2015-02-24 21:00:00,0.76,482.0,68.1,2.8,2
2015-02-24 22:00:00,0.81,401.0,68.0,2.9,2
2015-02-24 23:00:00,0.64,288.0,67.8,2.9,2
2015-02-25 00:00:00,0.8,144.0,69.6,2.9,0
2015-02-25 01:00:00,0.61,23.0,73.4,2.7,0
2015-02-25 02:00:00,0.64,0.0,77.5,2.6,0
2015-02-25 03:00:00,0.67,0.0,80.1,2.4,0
2015-02-25 04:00:00,0.74,0.0,81.2,2.1,0
2015-02-25 05:00:00,0.67,0.0,82.2,1.8,0
2015-02-25 06:00:00,0.77,0.0,83.6,1.5,0
2015-02-25 07:00:00,1.52,0.0,85.2,1.1,0
2015-02-25 08:00:00,2.07,0.0,86.9,0.9,0
2015-02-25 09:00:00,1.77,0.0,87.7,0.9,0
2015-02-25 10:00:00,1.34,0.0,87.6,0.8,0
2015-02-25 11:00:00,1.6,0.0,87.5,0.9,0
2015-02-25 12:00:00,1.98,0.0,87.5,0.9,0
2015-02-25 13:00:00,1.77,0.0,87.5,1.0,0
2015-02-25 14:00:00,2.76,0.0,87.5,1.1,0
2015-02-25 15:00:00,4.46,16.0,86.6,1.1,0
2015-02-25 16:00:00,2.51,52.0,84.9,1.1,0
2015-02-25 17:00:00,2.76,115.0,83.3,1.2,0
2015-02-25 18:00:00,2.15,219.0,82.8,1.1,2
2015-02-25 19:00:00,1.07,163.0,83.6,1.1,2
2015-02-25 20:00:00,1.14,205.0,84.4,1.4,2
2015-02-25 21:00:00,0.78,142.0,85.8,1.5,0
2015-02-25 22:00:00,0.94,67.0,88.0,1.3,0
2015-02-25 23:00:00,0.56,67.0,90.2,1.2,0
2015-02-26 00:00:00,0.66,65.0,92.5,1.0,0
2015-02-26 01:00:00,0.68,10.0,94.7,0.9,0
2015-02-26 02:00:00,0.6,0.0,97.0,0.8,0
2015-02-26 03:00:00,0.55,0.0,98.2,0.8,0
2015-02-26 04:00:00,0.61,0.0,98.4,0.8,0
2015-02-26 05:00:00,0.66,0.0,98.5,0.9,0
2015-02-26 06:00:00,1.14,0.0,98.7,0.8,0
2015-02-26 07:00:00,3.81,0.0,98.8,0.7,0
2015-02-26 08:00:00,1.49,0.0,98.9,0.6,0
2015-02-26 09:00:00,0.7,0.0,98.5,0.4,0
2015-02-26 10:00:00,1.09,0.0,97.7,0.2,0
2015-02-26 11:00:00,1.54,0.0,96.9,0.6,0
2015-02-26 12:00:00,0.95,0.0,96.5,0.8,0
2015-02-26 13:00:00,0.69,0.0,96.5,0.8,0
2015-02-26 14:00:00,0.5,0.0,96.5,0.8,0
