date only,blabla,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-02-21,1,0.64,0.78,0.87,0.5,0.42,0.33,0.4,0.46,0.59,0.99,1.04,1.37,1.41,1.11,0.85,4.29,1.01,0.57,1.04,1.44,2.22,0.97,0.87,0.92
2015-02-22,1,0.75,1.03,0.74,0.51,0.4,0.34,0.42,0.53,0.38,1.24,1.51,0.54,2.09,2.03,3.95,2.81,1.34,1.43,1.58,1.47,1.45,0.88,1.17,0.72
2015-02-23,1,0.44,0.49,0.52,0.47,0.49,0.46,0.44,1.91,0.68,0.49,0.44,0.41,0.45,0.42,0.48,0.43,3.21,2.6,2.96,1.59,1.6,3.95,1.07,0.78
2015-02-24,0,0.65,0.4,0.43,0.43,0.39,0.44,0.49,1.52,1.04,0.71,0.58,0.4,0.47,0.46,0.5,0.5,0.42,0.75,0.69,2.24,0.76,1.26,1.2,0.73
2015-02-25,0,0.48,0.44,0.48,0.47,0.46,0.46,0.93,2.35,0.95,0.41,0.39,0.37,0.45,0.37,0.44,0.36,0.42,0.42,0.91,1.65,0.85,0.97,0.94,0.59
2015-02-26,0,0.53,0.46,0.34,0.42,0.4,0.39,0.49,0.96,1.22,0.4,0.48,0.83,0.46,0.47,0.47,0.57,0.48,1.02,1.6,1.41,2.59,0.94,0.9,0.69
2015-02-28,0,1.46,0.85,0.58,0.32,0.39,0.48,0.48,0.54,0.48,0.76,1.16,0.63,1.26,1.3,0.41,0.4,0.47,2.92,3.08,1.91,0.78,0.59,0.5,0.84
2015-03-01,0,1.08,0.85,0.58,0.58,0.5,0.56,0.52,0.53,0.77,0.8,1.83,0.77,0.65,0.46,0.48,0.4,0.42,0.91,0.88,0.98,0.94,0.69,1.01,0.97
2015-03-02,0,0.74,0.57,0.39,0.47,0.43,0.5,0.52,1.09,1.02,0.35,0.47,0.44,0.39,0.48,0.38,0.53,0.41,1.07,1.4,0.91,0.89,0.8,0.89,1.03
2015-03-03,0,0.77,0.48,0.41,0.44,0.48,0.43,0.5,1.51,1.48,0.45,0.61,0.76,0.37,0.44,0.55,0.47,0.37,0.53,0.83,1.46,1.45,1.24,1.08,0.99
2015-03-04,1,0.72,0.42,0.41,0.39,0.48,0.43,0.57,2.44,1.67,0.36,0.4,0.42,0.38,0.47,0.38,0.41,2.26,1.6,4.44,1.84,1.13,1.02,1.19,1.09
2015-03-05,0,0.83,0.38,0.37,0.5,0.36,0.41,0.47,3.18,2.79,0.69,0.78,0.52,0.41,0.4,0.38,0.39,0.38,1.04,1.47,2.1,1.89,1.45,1.38,0.86
2015-03-06,1,0.85,0.94,0.48,0.38,0.43,0.48,0.41,0.71,3.19,0.44,0.65,0.63,0.56,0.65,0.78,0.85,1.03,0.98,1.71,1.96,1.4,1.94,1.24,1.19
2015-03-07,0,1.0,0.7,0.39,0.46,0.46,0.38,0.42,0.67,0.85,0.44,0.42,0.57,0.67,0.78,0.64,0.79,0.64,0.74,1.13,2.15,1.46,1.21,1.18,1.15
2015-03-09,0,1.25,1.22,0.88,0.36,0.46,0.44,0.37,0.89,0.57,0.49,0.46,0.42,0.45,0.47,0.42,0.46,0.52,0.71,0.53,0.83,1.78,3.03,1.17,0.81
2015-03-10,0,0.58,0.41,0.34,0.45,0.41,0.38,0.43,0.5,0.74,0.57,0.42,0.55,0.5,0.33,0.51,0.38,0.46,0.7,4.93,1.79,1.17,0.95,0.99,0.69
2015-03-11,0,0.54,0.44,0.35,0.4,0.46,0.37,0.43,0.93,1.29,1.51,1.02,0.41,0.49,0.38,0.44,0.42,0.39,1.19,3.27,3.91,1.47,1.31,1.19,0.88
2015-03-12,0,0.82,0.67,0.5,0.49,0.44,0.53,0.44,0.45,1.0,0.49,0.74,0.53,0.45,0.4,0.52,0.44,2.51,1.23,1.36,1.1,1.3,1.27,1.17,0.9
2015-03-13,0,0.63,0.43,0.4,0.56,0.44,0.41,0.41,4.11,1.76,0.55,0.49,0.55,0.53,0.58,0.5,0.53,0.55,0.55,1.42,1.61,1.68,1.23,1.29,0.92
2015-03-14,0,0.77,0.92,0.61,0.49,0.47,0.43,0.44,0.39,0.43,0.75,0.44,0.71,1.37,3.39,0.7,0.58,1.03,0.83,0.53,0.59,0.6,0.57,0.56,0.59
2015-03-15,1,0.89,0.74,0.65,0.51,0.53,0.38,0.44,0.6,0.62,0.92,0.69,0.95,1.06,1.25,1.53,1.92,1.67,2.12,1.6,1.52,1.36,3.87,1.11,0.66
2015-03-16,0,0.51,0.38,0.49,0.44,0.45,0.42,0.4,0.72,2.44,1.34,0.35,0.55,0.47,0.41,0.39,0.43,0.42,0.42,0.38,0.86,0.69,0.76,0.66,1.26
2015-03-17,0,1.17,0.69,0.47,0.39,0.4,0.53,0.39,0.49,2.08,1.29,0.4,0.87,0.44,0.44,0.49,0.46,0.44,0.49,0.44,4.5,3.7,2.37,1.39,1.01
2015-03-18,1,1.02,1.08,0.54,0.57,0.43,0.54,0.55,0.61,0.9,1.0,0.88,1.15,0.77,0.72,2.97,0.48,0.45,0.67,2.0,2.65,1.11,3.47,4.16,4.81
2015-03-19,0,2.03,2.21,0.43,0.53,0.44,0.53,0.41,0.53,0.58,1.08,1.83,1.13,0.86,0.86,0.82,0.88,0.79,0.85,0.86,1.03,1.02,1.05,0.82,0.86
2015-03-22,1,0.96,0.68,0.65,0.75,0.67,0.63,0.67,0.62,0.69,0.74,0.74,0.99,0.97,0.78,1.06,1.33,1.5,1.46,1.25,1.21,1.31,1.25,1.37,1.07
2015-03-23,0,1.06,0.85,0.78,0.61,0.65,0.64,0.6,0.89,0.64,0.61,0.66,0.68,0.75,0.63,0.59,0.68,0.62,0.55,0.57,0.79,0.83,0.69,0.68,0.59
2015-03-24,0,0.69,0.81,0.62,0.61,0.51,0.59,0.58,0.97,0.72,0.64,0.55,0.51,0.6,0.55,0.56,0.54,0.58,0.56,0.54,0.54,0.55,0.68,0.93,1.24
