date only,blabla,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-02-21,1,1.34,0.8,0.23,0.21,0.22,0.2,0.2,0.44,0.47,0.68,0.42,0.28,0.17,0.17,0.31,0.19,0.19,0.19,0.21,0.45,0.42,0.4,0.51,0.46
2015-02-22,0,0.41,0.4,0.41,0.4,0.41,0.28,0.26,0.46,0.4,0.61,0.96,0.49,0.45,0.41,0.53,0.63,0.39,0.57,0.6,1.54,2.04,1.17,1.29,0.73
2015-02-23,1,0.38,0.29,0.22,0.21,0.19,0.34,0.41,0.91,0.29,0.28,0.73,0.2,0.23,0.23,0.27,0.75,0.42,0.49,0.69,0.65,1.42,1.0,0.77,0.82
2015-02-24,1,0.58,0.32,0.21,0.18,0.17,0.3,0.37,0.55,0.43,0.29,0.34,0.43,0.61,0.32,0.44,0.59,0.5,1.84,0.72,0.7,2.47,0.9,1.38,0.9
2015-02-26,1,1.43,0.26,0.25,0.25,0.2,0.24,0.34,0.57,0.81,0.21,0.3,0.29,0.26,0.7,0.45,0.48,0.6,0.59,0.59,0.65,0.88,1.58,1.27,1.15
2015-02-27,1,0.69,0.29,0.21,0.19,0.2,0.18,0.35,0.8,0.58,0.37,0.42,0.25,0.27,0.19,0.19,0.26,0.23,0.22,0.46,0.88,0.41,0.94,1.21,0.9
2015-02-28,1,0.67,0.21,0.22,0.23,0.23,0.23,0.32,0.46,0.65,2.56,0.46,0.19,0.25,0.16,0.2,0.22,0.22,1.04,1.24,0.67,0.41,0.5,0.83,0.55
2015-03-01,0,0.29,0.25,0.25,0.23,0.26,0.3,0.26,0.49,0.83,0.64,1.36,0.51,0.34,0.33,0.35,0.43,0.45,1.78,2.21,1.24,1.67,3.44,1.67,2.04
2015-03-02,1,1.72,0.34,0.26,0.2,0.17,0.28,0.4,0.66,0.68,0.47,0.39,0.4,0.37,0.36,0.39,0.42,0.44,0.39,0.39,0.56,0.82,0.97,1.15,0.84
2015-03-04,1,0.2,0.19,0.19,0.2,0.19,0.23,0.38,0.8,0.51,0.52,0.17,0.22,0.25,0.19,0.18,0.47,0.5,0.74,0.9,1.23,1.02,1.8,1.99,1.68
2015-03-05,1,0.77,0.2,0.19,0.18,0.18,0.21,0.34,1.28,1.12,0.2,0.19,0.25,0.19,0.2,0.19,0.27,0.23,0.23,0.2,0.22,0.73,0.92,1.17,1.31
2015-03-06,1,0.22,0.19,0.19,0.2,0.19,0.19,0.4,0.71,0.84,0.37,0.24,0.24,0.24,0.23,0.24,0.36,0.27,0.26,0.26,0.26,0.27,0.41,0.95,0.71
2015-03-07,0,0.29,0.2,0.21,0.19,0.19,0.2,0.25,0.43,0.45,0.4,1.57,1.42,1.04,0.5,0.91,1.63,0.45,1.29,1.89,3.23,1.49,1.84,0.94,0.85
2015-03-09,1,0.24,0.28,0.28,0.28,0.25,0.24,0.35,0.93,1.11,0.22,0.22,0.3,0.28,0.23,0.28,0.23,0.21,0.22,0.23,0.27,0.4,0.78,0.78,0.96
2015-03-10,1,0.74,0.24,0.29,0.32,0.22,0.31,0.42,0.43,0.64,0.6,0.34,0.4,0.64,0.43,0.46,0.55,0.45,0.45,0.53,2.35,1.33,1.48,1.14,1.04
2015-03-11,1,0.61,0.25,0.27,0.21,0.29,0.3,0.23,0.39,0.87,0.46,0.2,0.22,0.23,0.22,0.2,0.25,0.25,0.21,0.31,1.08,0.83,0.99,0.97,1.28
2015-03-13,1,0.29,0.24,0.2,0.19,0.2,0.21,0.77,0.86,1.08,0.71,0.82,0.57,0.48,0.58,0.58,0.84,0.58,0.47,1.47,0.54,0.33,0.69,0.83,0.42
2015-03-14,0,0.25,0.25,0.23,0.25,0.25,0.25,0.26,0.26,0.25,0.35,0.55,0.21,0.26,0.3,0.38,0.41,1.06,2.86,2.38,0.74,0.55,0.87,0.95,0.76
2015-03-15,0,0.59,0.3,0.36,0.23,0.23,0.24,0.23,0.33,0.31,0.51,0.89,0.9,0.47,0.34,1.47,2.54,1.86,1.67,1.94,1.34,1.15,1.08,0.79,0.42
2015-03-16,1,0.18,0.24,0.26,0.23,0.22,0.25,0.52,0.71,0.62,0.17,0.2,0.16,0.19,0.24,0.2,0.32,0.52,0.69,0.42,0.61,1.16,1.14,0.83,0.71
2015-03-18,1,1.39,0.18,0.19,0.19,0.21,0.19,0.24,0.78,1.55,1.81,0.21,0.21,0.18,0.18,0.19,0.26,0.2,0.18,0.23,0.3,0.88,0.58,1.37,2.25
2015-03-19,1,0.52,0.16,0.27,0.25,0.2,0.19,0.2,0.71,0.88,0.28,0.2,0.21,0.19,0.19,0.21,0.5,0.55,0.45,0.61,0.77,1.06,1.48,1.15,1.4
2015-03-20,1,0.49,0.36,0.36,0.24,0.19,0.19,0.32,0.74,1.36,0.25,0.21,0.2,0.18,0.19,0.18,0.34,0.25,0.24,0.23,0.22,0.55,0.68,0.67,0.72
2015-03-21,1,0.44,0.17,0.22,0.21,0.17,0.28,0.19,0.36,0.26,0.25,0.38,0.43,0.56,0.22,0.4,0.28,0.25,0.21,0.45,2.08,2.18,1.37,0.68,0.82
2015-03-22,0,0.57,0.24,0.19,0.19,0.19,0.2,0.19,0.34,0.26,0.48,0.91,0.41,0.62,0.55,1.05,0.58,0.61,2.18,2.42,2.34,1.28,1.19,1.0,0.8
2015-03-23,1,0.31,0.23,0.2,0.18,0.2,0.25,0.45,0.83,0.69,0.17,0.19,0.22,0.22,0.18,0.19,0.4,0.51,0.49,0.92,0.89,2.36,1.56,1.21,0.81
2015-03-24,1,0.24,0.26,0.18,0.19,0.19,0.22,0.42,0.91,0.51,0.21,0.21,0.21,0.18,0.18,0.2,0.29,0.58,0.71,0.62,0.89,2.26,1.29,1.16,1.26
2015-03-27,1,0.93,0.17,0.24,0.19,0.21,0.23,0.23,0.72,0.45,0.44,0.23,0.18,0.19,0.25,0.2,0.22,0.35,0.21,0.21,0.54,0.45,0.4,0.8,0.71
2015-03-30,1,0.43,0.22,0.2,0.19,0.21,0.21,0.39,0.84,0.6,0.21,0.2,0.18,0.2,0.2,0.21,0.38,0.47,0.29,1.36,1.63,1.87,1.31,1.29,1.27
2015-03-31,1,0.86,0.7,0.24,0.23,0.21,0.2,0.3,0.71,0.53,0.18,0.54,0.31,0.3,0.29,0.31,0.27,0.32,0.19,0.19,0.55,0.59,0.91,0.81,0.56
2015-04-02,1,1.39,0.22,0.21,0.17,0.28,0.21,0.27,0.87,1.21,0.4,0.21,0.19,0.16,0.22,0.21,0.36,0.25,0.23,0.21,0.21,0.23,0.44,0.62,0.44
2015-04-03,0,0.22,0.22,0.2,0.25,0.22,0.22,0.36,0.29,0.79,0.48,0.73,0.62,0.66,0.71,0.6,0.76,0.92,2.56,0.6,0.7,0.57,0.48,0.67,2.0
2015-04-04,1,0.31,0.25,0.25,0.22,0.22,0.23,0.27,0.47,0.39,0.51,0.53,0.38,0.25,0.34,0.45,0.3,0.46,0.3,0.24,0.23,1.04,1.1,1.02,0.69
2015-04-06,0,0.81,0.24,0.18,0.22,0.24,0.22,0.38,0.29,0.25,0.29,0.52,0.82,0.92,0.44,0.42,0.67,0.51,0.94,1.85,1.25,1.7,1.04,0.91,2.1
2015-04-07,1,0.25,0.19,0.21,0.23,0.21,0.25,0.36,0.63,0.6,0.18,0.2,0.21,0.3,0.19,0.23,0.24,0.59,0.33,0.36,0.83,1.16,1.55,0.85,0.92
2015-04-10,1,1.61,0.24,0.25,0.19,0.19,0.19,0.41,0.72,0.9,0.43,0.39,0.29,0.26,0.32,0.3,0.43,0.27,0.26,0.21,0.98,0.63,0.78,0.65,0.47
2015-04-12,0,0.48,0.19,0.33,0.24,0.18,0.2,0.21,0.37,0.46,1.31,0.82,0.59,0.54,0.4,0.21,0.85,0.82,0.78,2.32,1.92,1.72,3.97,2.61,1.42
2015-04-14,1,0.45,0.2,0.21,0.2,0.19,0.27,0.34,0.89,0.35,0.18,0.19,0.18,0.18,0.18,0.2,0.28,0.21,0.21,0.19,0.32,1.14,1.27,1.18,0.86
2015-04-15,1,0.29,0.28,0.22,0.2,0.2,0.26,0.43,0.76,0.46,0.27,0.17,0.21,0.19,0.2,0.19,0.53,0.61,0.5,0.5,0.48,1.22,1.33,1.71,2.57
2015-04-16,1,0.41,0.23,0.21,0.27,0.19,0.2,0.37,0.58,1.49,0.39,0.18,0.21,0.18,0.2,0.21,0.65,0.57,0.62,0.52,0.91,1.75,1.21,1.19,1.09
2015-04-17,1,0.31,0.39,0.3,0.27,0.2,0.2,0.32,0.63,0.85,0.94,1.6,0.46,0.24,0.96,1.5,0.28,0.18,0.2,0.19,0.27,0.81,0.6,0.48,0.31
2015-04-18,0,0.21,0.21,0.2,0.2,0.2,0.3,0.22,0.35,0.26,0.36,1.93,0.59,0.32,0.34,0.31,0.39,0.62,0.5,1.66,2.0,1.06,1.04,0.67,0.77
2015-04-19,1,0.38,0.42,0.23,0.23,0.23,0.22,0.2,0.3,0.33,0.32,0.75,0.49,0.33,0.29,0.26,0.32,0.87,0.77,0.74,1.48,1.18,1.27,1.23,1.84
2015-04-21,1,1.25,0.78,1.17,0.88,0.83,1.17,0.8,1.67,1.14,0.6,0.21,0.19,0.2,0.18,0.19,0.5,0.46,0.36,0.6,1.57,1.31,1.1,0.98,0.59
2015-04-22,1,0.22,0.21,0.21,0.2,0.2,0.2,0.41,0.74,0.63,0.38,0.29,0.19,0.21,0.2,0.21,0.25,0.43,0.4,0.47,0.71,1.83,1.07,0.97,0.52
2015-04-23,1,0.43,0.22,0.22,0.19,0.2,0.19,0.23,0.76,0.85,0.25,0.19,0.19,0.19,0.18,0.21,0.65,0.53,0.44,0.46,0.72,0.89,1.58,1.33,1.09
2015-04-24,1,0.68,0.23,0.19,0.18,0.19,0.26,0.49,1.06,1.11,0.28,0.16,0.17,0.31,0.19,0.18,0.37,0.28,0.27,0.39,0.84,0.92,1.17,1.07,0.43
2015-04-25,1,0.25,0.28,0.22,0.23,0.23,0.22,0.23,0.42,0.44,0.65,0.24,0.25,0.31,0.57,0.29,0.33,0.41,0.31,1.21,1.75,1.17,1.34,0.95,0.62
2015-04-26,0,0.35,0.24,0.22,0.23,0.22,0.23,0.23,0.47,0.44,0.54,1.78,1.96,0.48,0.53,0.53,0.39,0.65,0.62,2.3,0.67,2.14,1.78,2.06,1.7
2015-04-27,1,1.2,0.21,0.2,0.19,0.19,0.19,0.37,3.32,1.49,0.44,0.21,0.21,0.18,0.19,0.19,0.26,0.61,0.45,0.52,0.45,0.42,1.84,1.15,1.13
2015-04-28,1,1.04,0.43,0.28,0.21,0.18,0.29,0.34,0.54,0.43,0.17,0.2,0.2,0.19,0.21,0.33,0.36,0.3,0.48,0.41,0.93,0.98,1.64,1.24,1.05
2015-04-29,1,0.21,0.2,0.24,0.2,0.19,0.2,0.56,0.52,0.38,0.2,0.25,0.23,0.2,0.4,0.2,0.26,0.37,0.52,0.76,0.89,1.14,0.87,0.79,0.85
2015-04-30,0,0.34,0.22,0.23,0.2,0.19,0.19,0.36,0.52,0.35,0.28,0.66,0.97,0.82,0.69,0.32,0.46,0.87,1.23,2.19,0.9,0.75,2.51,2.23,1.38
2015-05-02,0,0.47,0.2,0.19,0.2,0.19,0.19,0.24,0.36,0.26,0.4,0.23,0.33,0.31,0.21,0.35,0.54,0.28,0.95,1.9,2.68,1.9,1.04,1.43,0.79
2015-05-03,0,0.74,0.3,0.21,0.22,0.23,0.23,0.23,0.37,0.53,0.67,0.52,0.63,2.12,1.13,0.43,0.35,0.38,0.77,1.0,1.24,0.89,1.14,2.14,0.87
2015-05-05,1,0.23,0.22,0.22,0.18,0.18,0.19,0.49,0.77,0.22,0.19,0.3,0.19,0.18,0.24,0.32,0.44,0.38,0.33,0.34,1.02,0.83,0.92,0.93,0.89
2015-05-06,1,0.46,0.22,0.21,0.2,0.19,0.23,0.34,0.61,0.66,0.24,0.2,0.2,0.2,0.19,0.18,0.2,0.22,0.18,0.31,0.31,0.69,0.66,0.85,0.67
