date only,blabla,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-02-21,1,0.67,0.62,0.44,0.38,0.21,0.22,0.18,0.18,0.19,0.2,0.2,0.24,0.2,0.58,0.21,0.21,0.19,0.38,0.32,0.51,0.65,0.61,0.72,0.48
2015-02-22,1,0.28,0.27,0.29,0.26,0.26,0.25,0.25,0.27,0.27,0.28,0.64,0.4,0.32,0.37,0.52,0.77,0.35,2.0,2.34,2.5,0.79,0.99,0.91,0.89
2015-02-23,1,1.17,0.74,0.52,0.49,0.47,0.38,0.28,0.32,0.54,0.62,0.42,0.63,0.41,0.45,0.44,0.51,0.48,0.53,0.62,0.34,0.4,0.71,1.1,1.08
2015-02-24,1,0.92,0.36,0.32,0.37,0.27,0.26,0.26,0.3,0.3,0.28,0.49,0.43,0.44,0.45,0.39,0.62,0.42,0.25,0.25,0.25,0.33,0.42,1.01,0.99
2015-02-25,1,1.18,1.0,0.43,0.27,0.26,0.25,0.25,0.32,0.5,0.27,0.26,0.27,0.27,1.0,0.77,0.65,1.03,0.95,1.12,0.94,1.14,1.08,1.1,1.21
2015-02-26,1,1.18,0.63,0.29,0.29,0.27,0.26,0.26,0.36,0.44,0.28,0.28,0.47,0.26,0.49,0.75,0.77,0.76,0.8,1.01,0.97,0.62,0.46,0.43,0.48
2015-02-27,1,0.66,0.75,0.45,0.39,0.38,0.31,0.34,0.36,0.47,0.32,0.27,0.27,0.28,0.28,0.69,0.77,0.64,0.45,0.85,0.79,0.73,1.37,0.87,1.03
2015-02-28,1,0.81,0.58,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.56,0.35,0.34,0.34,0.37,0.38,0.45,0.41,0.35,0.47,0.94,1.11,1.32,1.35,1.11
2015-03-01,1,0.98,1.04,0.64,0.39,0.35,0.47,0.28,0.26,0.27,0.4,0.34,0.34,0.45,0.4,1.01,1.23,0.62,0.71,0.4,0.3,0.28,0.67,1.12,0.95
2015-03-02,1,0.62,0.36,0.36,0.35,0.34,0.34,0.35,0.43,0.61,0.27,0.18,0.19,0.19,0.26,0.18,0.2,0.18,0.2,0.49,1.99,1.65,1.18,1.28,0.89
2015-03-03,1,0.48,0.28,0.29,0.3,0.27,0.27,0.27,0.34,0.23,0.27,0.57,0.19,0.19,0.19,0.21,0.21,0.2,0.19,0.19,0.75,0.71,0.77,0.85,0.86
2015-03-04,0,0.56,0.22,0.22,0.22,0.2,0.19,0.33,0.37,0.32,0.2,0.21,0.21,0.21,0.19,0.19,0.19,0.19,0.25,0.54,0.88,0.8,0.48,0.4,0.42
2015-03-05,1,0.36,0.35,0.28,0.35,0.23,0.25,0.21,0.32,0.31,0.2,0.19,0.19,0.29,0.56,0.21,0.21,0.98,0.3,0.5,0.72,0.78,0.56,0.54,0.5
2015-03-06,1,0.44,0.41,0.43,0.39,0.38,0.2,0.2,0.21,0.38,0.62,0.71,0.46,1.49,0.27,0.25,0.32,0.24,0.24,0.26,0.26,0.24,0.54,0.96,0.79
2015-03-07,1,0.39,0.24,0.22,0.2,0.2,0.2,0.2,0.2,0.26,0.29,0.27,0.35,0.21,0.58,0.51,0.34,0.32,0.21,0.54,1.38,0.69,0.69,0.77,0.68
2015-03-09,1,0.57,0.5,0.33,0.17,0.17,0.18,0.2,0.17,0.27,0.29,0.29,0.28,0.29,0.33,0.3,0.29,0.29,0.3,1.67,1.06,0.75,0.51,0.6,0.56
2015-03-10,1,0.49,0.57,0.37,0.45,0.35,0.19,0.17,0.25,0.16,0.1,0.1,0.1,0.11,0.72,0.55,0.76,0.34,0.29,0.29,0.29,0.29,0.62,0.82,1.03
2015-03-11,1,0.91,0.86,0.44,0.32,0.29,0.29,0.32,0.41,0.23,0.11,0.1,0.1,0.1,0.13,0.18,0.36,0.16,0.38,1.09,0.89,1.12,1.18,0.92,0.85
2015-03-12,1,0.99,0.61,0.57,0.58,0.44,0.36,0.35,0.33,0.33,0.43,0.54,0.57,0.36,0.39,0.33,0.33,0.32,0.32,0.53,0.95,0.72,2.22,0.83,0.95
