date only,blabla,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-02-21,1,0.29,0.28,0.3,0.24,0.24,0.26,0.27,0.3,0.27,0.61,0.69,0.58,0.62,0.7,0.64,0.6,0.78,1.89,1.27,1.25,1.21,1.07,1.66,0.59
2015-02-22,1,0.23,0.3,0.27,0.34,0.26,0.36,0.23,0.44,0.42,0.72,0.5,0.66,0.71,0.61,0.47,0.45,0.88,1.4,0.95,0.94,1.04,0.65,0.33,0.37
2015-02-23,0,0.37,0.36,0.38,0.35,0.32,0.63,0.68,0.75,0.72,0.54,0.29,0.31,0.28,0.33,0.33,0.32,0.35,0.33,0.82,0.91,0.94,0.43,0.35,0.35
2015-02-24,0,0.34,0.39,0.34,0.38,0.31,0.41,0.51,0.8,0.8,0.48,0.31,0.34,0.34,0.35,0.39,0.33,0.4,0.45,0.95,1.09,1.04,0.6,0.34,0.38
2015-02-25,0,0.23,0.31,0.23,0.35,0.29,0.32,0.45,0.83,0.93,0.3,0.33,0.26,0.37,0.29,0.36,0.28,0.37,0.41,0.56,0.55,0.88,0.63,0.3,0.26
2015-02-26,0,0.31,0.27,0.3,0.31,0.29,0.43,0.26,0.78,0.75,0.48,0.25,0.37,0.28,0.35,0.33,0.32,0.34,0.49,1.98,0.76,0.62,0.37,0.33,0.36
2015-02-27,0,0.34,0.41,0.32,0.38,0.37,0.63,0.74,0.69,0.96,0.42,0.3,0.32,0.3,0.36,0.27,0.36,0.35,0.61,1.16,0.93,0.88,0.83,0.65,0.35
2015-02-28,1,0.3,0.37,0.34,0.36,0.33,0.35,0.37,0.55,0.95,0.87,0.47,0.78,0.91,0.62,0.67,0.4,0.6,0.63,0.62,1.87,1.85,0.62,0.23,0.27
2015-03-01,1,0.24,0.26,0.25,0.28,0.24,0.25,0.28,0.3,0.55,0.67,0.66,0.38,0.61,0.58,0.7,0.62,2.33,2.65,0.89,1.01,0.81,0.42,0.2,0.25
2015-03-02,0,0.23,0.27,0.28,0.25,0.27,0.21,0.59,0.7,1.02,0.4,0.43,0.35,0.43,0.36,0.49,0.39,0.41,0.54,0.94,1.0,0.63,0.4,0.21,0.24
2015-03-03,0,0.25,0.24,0.28,0.25,0.26,0.23,0.42,0.78,0.97,0.34,0.32,0.28,0.34,0.38,0.42,0.26,0.37,0.39,1.0,0.75,0.78,0.58,0.29,0.2
2015-03-04,0,0.29,0.24,0.26,0.24,0.29,0.22,0.55,0.63,0.9,0.31,0.33,0.3,0.36,0.28,0.37,0.31,0.35,0.27,0.37,0.44,0.67,0.41,0.36,0.19
2015-03-05,0,0.26,0.21,0.3,0.22,0.3,0.22,0.59,0.63,0.89,0.49,0.33,0.25,0.33,0.3,0.37,0.3,0.37,0.38,1.14,0.94,0.79,0.65,0.24,0.23
