,Mean_Consumption
0,0.9251901213704048
1,1.2211531703590568
2,0.7568755732191985
3,0.36519334909618184
4,0.6669537928378888
5,0.642675324675339
6,0.5409147489338703
7,0.5241042145594033
8,0.9050634309878446
9,1.5772466480767058
